"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Tawaf_Ablation_Model.nlogo"
"ablation_stage0_full_density_sweep"
"07/15/2026 15:33:42:001 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-15","15"
"[run number]","population","base-speed","speed-variation","homogeneous-radius?","avoidance?","density-speed?","sensing-radius","[step]","count turtles","sd-radius","lane-count 0.5 3","overlaps","mean-nn","edge-fraction 0.5","mean-speed"
"5","450","0.8","0.1","true","false","false","3","32","450","2.325213533075141","4","266","0.5506764763526708","0","0.8512379351699997"
"4","450","0.8","0.1","true","false","false","3","33","450","2.3269207180851637","4","261","0.5509450521667578","0","0.8492451859985694"
"2","450","0.8","0.1","true","false","false","3","30","450","2.395901589248397","3","255","0.5642077656146758","0","0.8502828740653352"
"5","450","0.8","0.1","true","false","false","3","33","450","2.2960941647208077","2","262","0.5485999904386737","0","0.8512379351699998"
"1","450","0.8","0.1","true","false","false","3","31","450","2.4418516175897764","5","265","0.5450281617292688","0","0.8493513102584986"
"6","1050","0.8","0.1","true","false","false","3","8","1050","3.2223275341824174","5","862","0.38634969350279896","0.03142857142857143","0.8511160176141809"
"3","450","0.8","0.1","true","false","false","3","30","450","2.3640927329855215","1","249","0.5342308702514909","0","0.8480931355245561"
"4","450","0.8","0.1","true","false","false","3","34","450","2.2963077385243293","3","257","0.5501093274800742","0","0.8492451859985691"
"5","450","0.8","0.1","true","false","false","3","34","450","2.266337035774473","3","255","0.5461123424855638","0","0.8512379351699993"
"1","450","0.8","0.1","true","false","false","3","32","450","2.409403201303034","5","252","0.5377551638813999","0","0.8493513102584983"
"2","450","0.8","0.1","true","false","false","3","31","450","2.3656836797282192","3","253","0.5652611445619911","0","0.8502828740653358"
"3","450","0.8","0.1","true","false","false","3","31","450","2.333343701509478","1","256","0.5333461908384964","0","0.8480931355245565"
"1","450","0.8","0.1","true","false","false","3","33","450","2.377914012358582","5","265","0.5339583680899579","0","0.8493513102584985"
"4","450","0.8","0.1","true","false","false","3","35","450","2.2661688850409663","4","269","0.5459892705944952","0","0.8492451859985692"
"3","450","0.8","0.1","true","false","false","3","32","450","2.3031901531265064","1","262","0.5309245819493829","0","0.8480931355245557"
"5","450","0.8","0.1","true","false","false","3","35","450","2.2366781813260843","5","259","0.5457758886335341","0","0.8512379351699997"
"3","450","0.8","0.1","true","false","false","3","33","450","2.274400136995384","1","280","0.5272653970727288","0","0.8480931355245555"
"2","450","0.8","0.1","true","false","false","3","32","450","2.3343319152477218","2","255","0.5648628568829596","0","0.8502828740653348"
"1","450","0.8","0.1","true","false","false","3","34","450","2.346781241095017","1","256","0.5313169708099599","0","0.8493513102584982"
"4","450","0.8","0.1","true","false","false","3","36","450","2.237175210920444","4","267","0.5368872071365315","0","0.8492451859985707"
"5","450","0.8","0.1","true","false","false","3","36","450","2.2089155385786916","4","265","0.543644200623842","0","0.8512379351699996"
"3","450","0.8","0.1","true","false","false","3","34","450","2.2455308727633096","1","279","0.5268981999212672","0","0.8480931355245553"
"2","450","0.8","0.1","true","false","false","3","33","450","2.304073772953837","1","265","0.5641024447502384","0","0.8502828740653362"
"4","450","0.8","0.1","true","false","false","3","37","450","2.208267147817361","3","280","0.5279761826839737","0","0.8492451859985699"
"3","450","0.8","0.1","true","false","false","3","35","450","2.216068904245948","4","279","0.5248231756025633","0","0.8480931355245559"
"5","450","0.8","0.1","true","false","false","3","37","450","2.1807784032148687","6","250","0.5405713804502701","0","0.8512379351700007"
"1","450","0.8","0.1","true","false","false","3","35","450","2.3171309710208616","1","269","0.5261991448957963","0","0.8493513102584983"
"3","450","0.8","0.1","true","false","false","3","36","450","2.188542519476885","4","279","0.5259980267682476","0","0.8480931355245558"
"5","450","0.8","0.1","true","false","false","3","38","450","2.1530343102532408","2","261","0.5371839083512022","0","0.8512379351700003"
"4","450","0.8","0.1","true","false","false","3","38","450","2.1795905379107525","3","278","0.5194368318989816","0","0.8492451859985701"
"2","450","0.8","0.1","true","false","false","3","34","450","2.274873862057294","1","227","0.5613909409799598","0","0.8502828740653364"
"3","450","0.8","0.1","true","false","false","3","37","450","2.162040023344264","5","275","0.5272923322251699","0","0.8480931355245555"
"1","450","0.8","0.1","true","false","false","3","36","450","2.2872975811896805","3","267","0.5213006602527934","0","0.8493513102584986"
"5","450","0.8","0.1","true","false","false","3","39","450","2.1253503712992625","3","268","0.5329147943320997","0","0.8512379351699999"
